0,0 0,00 1,00 0,00 1,00
4010,0 -1,91 -1,92 -1,94 -1,94
4020,0 -1,91 -1,92 -1,94 -1,96
4030,0 -1,91 -1,92 -1,94 -1,96
4040,0 -1,91 -1,92 -1,94 -1,96
4050,0 -1,89 -1,92 -1,94 -1,96
4060,0 -1,89 -1,92 -1,94 -1,96
4070,0 -1,90 -1,92 -1,94 -1,94
4080,0 -1,92 -1,92 -1,94 -1,94
4090,0 -1,92 -1,92 -1,94 -1,94
4100,0 -1,92 -1,92 -1,94 -1,94
4110,0 -1,92 -1,92 -1,94 -1,94
4120,0 -1,91 -1,92 -1,94 -1,96
4130,0 -1,91 -1,92 -1,94 -1,96
4140,0 -1,91 -1,92 -1,94 -1,96
4150,0 -1,91 -1,92 -1,94 -1,96
4160,0 -1,91 -1,92 -1,94 -1,96
4170,0 -1,91 -1,92 -1,94 -1,94
4180,0 -1,91 -1,92 -1,94 -1,94
4190,0 -1,91 -1,92 -1,94 -1,94
4200,0 -1,91 -1,92 -1,94 -1,94
4210,0 -1,91 -1,92 -1,94 -1,94
4220,0 -1,91 -1,92 -1,94 -1,95
4230,0 -1,89 -1,92 -1,94 -1,96
4240,0 -1,89 -1,92 -1,94 -1,96
4250,0 -1,90 -1,92 -1,94 -1,96
4260,0 -1,92 -1,92 -1,94 -1,96
4270,0 -1,92 -1,92 -1,94 -1,94
4280,0 -1,92 -1,92 -1,94 -1,94
4290,0 -1,92 -1,92 -1,94 -1,94
4300,0 -1,92 -1,92 -1,94 -1,94
4310,0 -1,91 -1,92 -1,94 -1,94
4320,0 -1,91 -1,92 -1,94 -1,95
4330,0 -1,91 -1,92 -1,94 -1,96
4340,0 -1,91 -1,92 -1,94 -1,96
4350,0 -1,91 -1,92 -1,94 -1,96
4360,0 -1,91 -1,92 -1,94 -1,96
4370,0 -1,91 -1,92 -1,94 -1,95
4380,0 -1,91 -1,92 -1,94 -1,94
4390,0 -1,91 -1,92 -1,94 -1,94
4400,0 -1,91 -1,92 -1,94 -1,94
4410,0 -1,91 -1,92 -1,94 -1,94
4420,0 -1,91 -1,92 -1,94 -1,95
4430,0 -1,91 -1,92 -1,94 -1,96
4440,0 -1,91 -1,92 -1,94 -1,96
4450,0 -1,90 -1,92 -1,94 -1,96
4460,0 -1,89 -1,92 -1,94 -1,96
4470,0 -1,90 -1,92 -1,94 -1,95
4480,0 -1,92 -1,92 -1,94 -1,94
4490,0 -1,92 -1,92 -1,94 -1,94
4500,0 -1,92 -1,92 -1,94 -1,94
4510,0 -1,92 -1,92 -1,94 -1,94
4520,0 -1,92 -1,92 -1,94 -1,94
4530,0 -1,91 -1,92 -1,94 -1,96
4540,0 -1,91 -1,92 -1,94 -1,96
4550,0 -1,91 -1,92 -1,94 -1,96
4560,0 -1,91 -1,92 -1,94 -1,96
4570,0 -1,91 -1,92 -1,94 -1,96
4580,0 -1,91 -1,92 -1,94 -1,94
4590,0 -1,91 -1,92 -1,94 -1,94
4600,0 -1,91 -1,92 -1,94 -1,94
4610,0 -1,91 -1,92 -1,94 -1,94
4620,0 -1,91 -1,92 -1,94 -1,94
4630,0 -1,91 -1,92 -1,94 -1,96
4640,0 -1,89 -1,92 -1,94 -1,96
4650,0 -1,89 -1,92 -1,94 -1,96
4660,0 -1,90 -1,92 -1,94 -1,96
4670,0 -1,92 -1,92 -1,94 -1,96
4680,0 -1,92 -1,92 -1,94 -1,94
4690,0 -1,92 -1,92 -1,94 -1,94
4700,0 -1,92 -1,92 -1,94 -1,94
4710,0 -1,91 -1,92 -1,94 -1,94
4720,0 -1,91 -1,92 -1,94 -1,94
4730,0 -1,91 -1,92 -1,94 -1,95
4740,0 -1,91 -1,92 -1,94 -1,96
4750,0 -1,91 -1,92 -1,94 -1,96
4760,0 -1,91 -1,92 -1,94 -1,96
4770,0 -1,91 -1,92 -1,94 -1,96
4780,0 -1,91 -1,92 -1,94 -1,94
4790,0 -1,91 -1,92 -1,94 -1,94
4800,0 -1,91 -1,92 -1,94 -1,94
4810,0 -1,91 -1,92 -1,94 -1,94
4820,0 -1,91 -1,92 -1,94 -1,94
4830,0 -1,91 -1,92 -1,94 -1,95
4840,0 -1,91 -1,92 -1,94 -1,96
4850,0 -1,91 -1,92 -1,94 -1,96
4860,0 -1,89 -1,92 -1,94 -1,96
4870,0 -1,89 -1,92 -1,94 -1,96
4880,0 -1,90 -1,92 -1,94 -1,95
4890,0 -1,92 -1,92 -1,94 -1,94
4900,0 -1,92 -1,92 -1,94 -1,94
4910,0 -1,92 -1,92 -1,94 -1,94
4920,0 -1,92 -1,92 -1,94 -1,94
4930,0 -1,92 -1,92 -1,94 -1,95
4940,0 -1,91 -1,92 -1,94 -1,96
4950,0 -1,91 -1,92 -1,94 -1,96
4960,0 -1,91 -1,92 -1,94 -1,96
4970,0 -1,91 -1,92 -1,94 -1,96
4980,0 -1,91 -1,92 -1,94 -1,95
4990,0 -1,91 -1,92 -1,94 -1,94
5000,0 -1,91 -1,92 -1,94 -1,94
5010,0 -1,91 -1,92 -1,94 -1,94
5020,0 -1,91 -1,92 -1,94 -1,94
5030,0 -1,91 -1,92 -1,94 -1,94
5040,0 -1,91 -1,92 -1,94 -1,96
5050,0 -1,89 -1,92 -1,94 -1,96
5060,0 -1,89 -1,92 -1,94 -1,96
5070,0 -1,90 -1,92 -1,94 -1,96
5080,0 -1,92 -1,92 -1,94 -1,96
5090,0 -1,92 -1,92 -1,94 -1,94
5100,0 -1,92 -1,92 -1,94 -1,94
5110,0 -1,92 -1,92 -1,94 -1,94
5120,0 -1,91 -1,92 -1,94 -1,94
5130,0 -1,91 -1,92 -1,94 -1,94
5140,0 -1,91 -1,92 -1,94 -1,96
5150,0 -1,91 -1,92 -1,94 -1,96
5160,0 -1,91 -1,92 -1,94 -1,96
5170,0 -1,91 -1,92 -1,94 -1,96
5180,0 -1,91 -1,92 -1,94 -1,96
5190,0 -1,91 -1,92 -1,94 -1,94
5200,0 -1,91 -1,92 -1,94 -1,94
5210,0 -1,91 -1,92 -1,94 -1,94
5220,0 -1,91 -1,92 -1,94 -1,94
5230,0 -1,91 -1,92 -1,94 -1,94
5240,0 -1,91 -1,92 -1,94 -1,95
5250,0 -1,91 -1,92 -1,94 -1,96
5260,0 -1,91 -1,92 -1,94 -1,96
5270,0 -1,89 -1,92 -1,94 -1,96
5280,0 -1,89 -1,92 -1,94 -1,96
5290,0 -1,90 -1,92 -1,94 -1,94
5300,0 -1,92 -1,92 -1,94 -1,94
5310,0 -1,92 -1,92 -1,94 -1,94
5320,0 -1,92 -1,92 -1,94 -1,94
5330,0 -1,92 -1,92 -1,94 -1,94
5340,0 -1,92 -1,92 -1,94 -1,95
5350,0 -1,91 -1,92 -1,94 -1,96
5360,0 -1,91 -1,92 -1,94 -1,96
5370,0 -1,91 -1,92 -1,94 -1,96
5380,0 -1,91 -1,92 -1,94 -1,96
5390,0 -1,91 -1,92 -1,94 -1,95
5400,0 -1,91 -1,92 -1,94 -1,94
5410,0 -1,91 -1,92 -1,94 -1,94
5420,0 -1,91 -1,92 -1,94 -1,94
5430,0 -1,91 -1,92 -1,94 -1,94
5440,0 -1,91 -1,92 -1,94 -1,95
5450,0 -1,90 -1,92 -1,94 -1,96
5460,0 -1,89 -1,92 -1,94 -1,96
5470,0 -1,90 -1,92 -1,94 -1,96
5480,0 -1,92 -1,92 -1,94 -1,96
5490,0 -1,92 -1,92 -1,94 -1,95
5500,0 -1,92 -1,92 -1,94 -1,94
5510,0 -1,92 -1,92 -1,94 -1,94
5520,0 -1,92 -1,92 -1,94 -1,94
5530,0 -1,91 -1,92 -1,94 -1,94
5540,0 -1,91 -1,92 -1,94 -1,94
5550,0 -1,91 -1,92 -1,94 -1,96
5560,0 -1,91 -1,92 -1,94 -1,96
5570,0 -1,91 -1,92 -1,94 -1,96
5580,0 -1,91 -1,92 -1,94 -1,96
5590,0 -1,91 -1,92 -1,94 -1,96
